isin,desc,coupon,maturity,price,ytm,volume
IN0020210244,,6.54,2032-01-17,99.1294,6.7342,
IN0020060086,,8.28,2032-02-15,106.6467,6.7908,
IN0020250059,,6.28,2032-07-14,97.3974,6.8261,
IN0020070044,,8.32,2032-08-02,107.151,6.8208,
IN0020220060,,7.26,2032-08-22,102.1782,6.8064,
IN0020020106,,7.95,2032-08-28,105.3459,6.8405,
IN0020070077,,8.33,2032-09-21,107.2697,6.8356,
IN0020250133,,6.68,2033-01-27,99.2854,6.8181,
IN0020220144,,7.29,2033-01-27,102.2486,6.846,
IN0020220151,,7.26,2033-02-06,102.113,6.8443,
IN0020190065,,7.57,2033-06-17,103.6977,6.8736,
IN0020230085,,7.18,2033-08-14,101.5675,6.8896,
IN0020260066,,6.57,2033-08-17,98.3895,6.8649,
IN0020140052,,8.24,2033-11-10,107.598,6.8748,
IN0020160100,,6.57,2033-12-05,98.4455,6.844,
IN0020230150,,7.24,2033-12-11,101.7885,6.919,
IN0020240019,,7.1,2034-04-08,100.989,6.9286,
IN0020240100,,6.9,2034-08-05,99.2408,7.0253,
IN0020040039,,7.5,2034-08-10,102.8275,7.026,
IN0020200096,,6.19,2034-09-16,94.9148,7.0317,
IN0020240126,,6.79,2034-10-07,98.8801,6.9729,
IN0020240159,,6.79,2034-12-02,98.4677,7.0365,
IN0020150051,,7.73,2034-12-19,104.2733,7.0364,
IN0020200245,,6.22,2035-03-16,95.31,6.96,
IN0020250026,,6.33,2035-05-05,95.9401,6.9616,
IN0020210020,,6.64,2035-06-16,97.7917,6.9792,
IN0020050012,,7.4,2035-09-09,102.8808,6.963,
IN0020250091,,6.48,2035-10-06,96.6981,6.977,
IN0020210152,,6.67,2035-12-15,97.9655,6.97,
IN0020260025,,6.94,2036-05-11,99.4609,7.0159,
IN0020220029,,7.54,2036-05-23,103.4137,7.0457,
IN0020060045,,8.33,2036-06-07,108.9629,7.0394,
IN0020220102,,7.41,2036-12-19,102.4757,7.0645,
IN0020230077,,7.18,2037-07-24,100.9415,7.0528,
IN0020080050,,6.83,2039-01-19,97.8846,7.0884,
IN0020240027,,7.23,2039-04-15,100.6828,7.1458,
IN0020190024,,7.62,2039-09-15,104.3696,7.0997,
IN0020240134,,6.92,2039-11-18,98.6253,7.0806,
IN0020100031,,8.3,2040-07-02,109.6481,7.1842,
IN0020250042,,6.68,2040-07-07,95.9048,7.1499,
IN0020260041,,7.06,2041-07-27,99.2975,7.1361,
IN0020110063,,8.83,2041-12-12,114.7344,7.2181,
IN0020120062,,8.3,2042-12-31,109.7046,7.2719,
IN0020190040,,7.69,2043-06-17,103.7559,7.2962,
IN0020130079,,9.23,2043-12-23,118.5093,7.3223,
IN0020140078,,8.17,2044-12-01,107.2342,7.4367,
IN0020150044,,8.13,2045-06-22,107.5697,7.3769,
IN0020160068,,7.06,2046-10-10,95.9347,7.4529,
IN0020190032,,7.72,2049-06-15,102.2663,7.5091,
IN0020200054,,7.16,2050-09-20,95.8419,7.5371,
IN0020200252,,6.67,2050-12-17,89.9707,7.5784,
IN0020160092,,6.62,2051-11-28,89.2186,7.5843,
IN0020210194,,6.99,2051-12-15,93.332,7.5854,
IN0020220086,,7.36,2052-09-12,97.386,7.5918,
IN0020230051,,7.3,2053-06-19,96.3417,7.6209,
IN0020230176,,7.37,2054-01-23,96.9448,7.6365,
IN0020240118,,7.09,2054-08-05,94.0569,7.6054,
IN0020240175,,6.98,2054-12-16,92.319,7.646,
IN0020250075,,7.24,2055-08-18,95.732,7.6062,
IN0020150077,,7.72,2055-10-26,100.7819,7.6515,
IN0020260017,,7.5,2056-04-27,98.2056,7.6529,
IN0020260082,,7.63,2056-09-15,100.1862,7.6141,
IN0020190057,,7.63,2059-06-17,99.538,7.6672,
IN0020200039,,7.19,2060-09-15,93.9791,7.6916,
IN0020200187,,6.8,2060-12-15,89.2398,7.694,
IN0020200401,,6.76,2061-02-22,88.9554,7.6756,
IN0020210202,,6.95,2061-12-16,91.1703,7.6778,
IN0020220094,,7.4,2062-09-19,96.8786,7.656,
IN0020230044,,7.25,2063-06-12,94.3994,7.7089,
IN0020240035,,7.34,2064-04-22,95.4557,7.7111,
IN0020250018,,6.9,2065-04-15,90.1498,7.7013,
IN0020260033,,7.71,2066-05-18,100.2871,7.6854,
IN0020230127,,7.46,2073-11-06,97.4203,7.6624,
IN0020240142,,7.09,2074-11-25,92.2421,7.7024,
IN0020250117,,7.43,2076-01-19,96.8393,7.6775,
